Year,Surname,Frecuency
2023,Puerta,1662
2023,Elvira,1661
2023,Montalvo,1661
2023,Bello,1660
2023,Cuellar,1660
2023,Manrique,1658
2023,Nicolás,1652
2023,Dueñas,1651
2023,Vila,1651
2023,Cabrero,1650
2023,Yagüe,1648
2023,Tello,1647
2023,Canales,1646
2023,Alfaro,1644
2023,Molinero,1641
2023,Melero,1626
2023,Alcalá,1624
2023,Reina,1619
2023,Mota,1618
2023,Sevillano,1618
2023,Baeza,1611
2023,Pedraza,1611
2023,Mosquera,1610
2023,Coronado,1609
2023,Oliveira,1608
2023,Tirado,1605
2023,Cifuentes,1603
2023,Arteaga,1593
2023,Pablos,1591
2023,Ramón,1586
2023,Dos Santos,1585
2023,Costa,1583
2023,Moyano,1583
2023,Zheng,1572
2023,Arellano,1570
2023,Jorge,1566
2023,Tena,1564
2023,Tejada,1557
2023,Palomares,1550
2023,Gimeno,1541
2023,San Martín,1540
2023,Yáñez,1536
2023,Espada,1535
2023,Requena,1535
2023,Gordillo,1534
2023,Marco,1533
2023,Tamayo,1532
2023,Hernán,1529
2023,Meléndez,1528
2023,Rosario,1527
2023,Atienza,1526
2023,Olmos,1520
2023,Arcos,1513
2023,Narváez,1511
2023,Montoro,1509
2023,Monge,1506
2023,Talavera,1506
2023,Alcaide,1499
2023,Gámez,1499
2023,Quirós,1499
2023,Céspedes,1498
2023,Bejarano,1497
2023,Poza,1497
2023,Catalán,1493
2023,Centeno,1493
2023,Peral,1492
2023,Poveda,1491
2023,Checa,1487
2023,Palma,1476
2023,Enríquez,1472
2023,Rodrigues,1465
2023,Vivas,1464
2023,Felipe,1462
2023,Lobato,1461
2023,Yang,1461
2023,Morena,1459
2023,Torrijos,1455
2023,Salamanca,1453
2023,Florez,1452
2023,Moraleda,1451
2023,Prados,1451
2023,Maya,1448
2023,Téllez,1445
2023,Ceballos,1439
2023,Mansilla,1438
2023,San Román,1438
2023,Casanova,1436
2023,Huang,1436
2023,Llanos,1423
2023,Brito,1421
2023,Fajardo,1420
2023,Casero,1418
2023,Saenz,1412
2023,Medrano,1410
2023,Mercado,1410
2023,Valiente,1409
2023,Chaves,1407
2023,Almeida,1405
2023,Páez,1400
2023,Girón,1393
2023,Jerez,1391
2023,Sarmiento,1384
2023,Carreño,1379
2023,Lafuente,1378
2023,Muñiz,1375
2023,Cabanillas,1374
2023,Fuertes,1374
2023,Nevado,1371
2023,Báez,1368
2023,Machado,1368
2023,Merchán,1366
2023,Ibarra,1364
2023,Adán,1363
2023,Ariza,1360
2023,Perales,1357
2023,Dios,1355
2023,Moro,1350
2023,Romo,1350
2023,Amaya,1349
2023,Freire,1349
2023,Romera,1348
2023,San Juan,1347
2023,Tome,1342
2023,Llamas,1336
2023,Fonseca,1332
2023,Montaño,1328
2023,Roca,1326
2023,Popa,1322
2023,Moreira,1319
2023,Barco,1318
2023,Quiroga,1318
2023,Hoyos,1317
2023,Vadillo,1317
2023,Briones,1312
2023,Chico,1310
2023,Albarrán,1309
2023,Revilla,1309
2023,Val,1308
2023,Carpio,1307
2023,Córdova,1301
2023,Pareja,1300
2023,Benavente,1298
2023,Borrego,1297
2023,Valera,1296
2023,Tovar,1294
2023,Herreros,1291
2023,Buitrago,1290
2023,Revuelta,1289
2023,Acedo,1288
2023,Palacio,1283
2023,Alcaraz,1281
2023,Pedro,1281
2023,Zafra,1278
2023,Parrilla,1269
2023,Meneses,1263
2023,Espejo,1262
2023,Mayor,1261
2023,Barranco,1257
2023,Restrepo,1257
2023,Ureña,1255
2023,Villaverde,1255
2023,Mayo,1254
2023,Sousa,1253
2023,Lago,1252
2023,Alves,1248
2023,Roa,1247
2023,Garcés,1240
2023,Labrador,1234
2023,Orgaz,1230
2023,Iglesia,1228
2023,Casillas,1225
2023,Cornejo,1222
2023,Herráez,1221
2023,Gago,1220
2023,Piña,1218
2023,Benavides,1212
2023,Latorre,1209
2023,Cueva,1206
2023,Pozuelo,1204
2023,Hu,1203
2023,Cubero,1202
2023,Carranza,1199
2023,Sanabria,1198
2023,Meza,1197
2023,Oliver,1195
2023,Quevedo,1195
2023,Amor,1194
2023,Urbina,1192
2023,Berrocal,1191
2023,Maestre,1191
2023,Cañizares,1190
2023,Galván,1187
2023,Huete,1183
2023,Madrigal,1181
2023,Vizcaíno,1180
2023,Zurita,1180
2023,Pajares,1175
2023,Alegre,1174
2023,Granado,1174
2023,Zúñiga,1174
2023,Ferreiro,1173
2023,Morón,1173
2023,Valdez,1172
2023,Lima,1170
2023,Torrejón,1168
2023,Peñas,1167
2023,Briceño,1165
2023,Carrascosa,1164
2023,Matías,1161
2023,Pop,1161
2023,Matesanz,1160
2023,Buendía,1159
2023,Trigo,1156
2023,Abreu,1155
2023,Londoño,1155
2023,Vaca,1155
2023,Cisneros,1152
2023,Gregorio,1152
2023,Sampedro,1151
2023,Bolaños,1150
2023,Cabañas,1149
2023,Oviedo,1149
2023,Jesús,1148
2023,Montenegro,1146
2023,Simbaña,1140
2023,Belinchon,1139
2023,Pintado,1139
2023,Arjona,1131
2023,Uceda,1130
2023,Cepeda,1125
2023,Antonio,1123
2023,Palomar,1123
2023,Saz,1122
2023,Puertas,1119
2023,Bernardo,1117
2023,Leiva,1114
2023,Solana,1112
2023,Infante,1105
2023,Monje,1105
2023,Martí,1104
2023,Villalobos,1104
2023,Coronel,1102
2023,Pantoja,1100
2023,Paris,1100
2023,Gallo,1098
2023,Jaén,1097
2023,Osuna,1093
2023,Barrado,1090
2023,Ros,1089
2023,Carpintero,1087
2023,Puerto,1085
2023,Magro,1084
2023,Monzón,1083
2023,Saldaña,1083
2023,Vegas,1077
2023,Bedoya,1076
2023,Montilla,1075
2023,Jiang,1073
2023,Carbonell,1072
2023,Bernabé,1066
2023,Ferreras,1065
2023,Gomes,1061
2023,Novillo,1061
2023,Lujan,1058
2023,Mellado,1057
2023,Echevarría,1054
2023,Marina,1053
2023,Gamarra,1052
2023,Maestro,1048
2023,Acuña,1047
2023,Jordán,1047
2023,Batista,1045
2023,Carro,1043
2023,Picazo,1042
2023,Villarreal,1040
2023,Vilches,1039
2023,Úbeda,1035
2023,Ayllon,1033
2023,Ospina,1028
2023,Sanjuán,1025
2023,Egido,1023
2023,Campillo,1021
2023,Donoso,1021
2023,Chaparro,1018
2023,Coca,1017
2023,Panadero,1013
2023,Higueras,1009
2023,Iniesta,1008
2023,Arango,1007
2023,Gascón,1005
2023,Seco,1005
2023,Chicharro,1004
2023,Ropero,1004
2023,Acero,1001
2023,Cerrato,1001
2023,Granda,1001
2023,Maria,998
2023,Salguero,996
2023,Fernandes,995
2023,Mera,992
2023,Peñalver,989
2023,España,988
2023,Callejo,986
2023,Cedeño,986
2023,Radu,986
2023,Amores,983
2023,Aquino,982
2023,Ocampo,982
2023,Cabeza,981
2023,Salmerón,981
2023,Alcocer,977
2023,Cervantes,975
2023,Roncero,975
2023,Higuera,972
2023,Egea,971
2023,Galeano,969
2023,Morillas,969
2023,Ahmed,966
2023,Hermoso,964
2023,Mancebo,962
2023,Mas,962
2023,Almagro,961
2023,Guamán,961
2023,Zazo,960
2023,Bellido,958
2023,Urbano,954
2023,Cervera,953
2023,Jin,948
2023,San Segundo,946
2023,Anaya,944
2023,Taboada,943
2023,Quiñones,942
2023,Puebla,941
2023,Torralba,941
2023,Ovejero,940
2023,Barrientos,939
2023,Varas,937
2023,Villarroel,937
2023,Palencia,934
2023,Cazorla,931
2023,Piñero,931
2023,Cortijo,929
2023,Vacas,929
2023,Lillo,928
2023,Recuero,923
2023,Yu,923
2023,Agudelo,921
2023,Julián,920
2023,Gaitán,918
2023,Morante,917
2023,Noguera,916
2023,Guisado,910
2023,Cañadas,908
2023,Maqueda,908
2023,Martíns,908
2023,Rabadán,908
2023,Melgar,907
2023,Valbuena,907
2023,Valladares,907
2023,Barreto,904
2023,Gamero,904
2023,Motos,904
2023,Dieguez,903
2023,Baños,902
2023,Fresno,902
2023,Aznar,901
2023,Piqueras,901
2023,Rus,900
2023,Cordón,899
2023,Sun,899
2023,Montesinos,898
2023,Triguero,897
2023,Hoz,894
2023,Barriga,889
2023,Arnaiz,888
2023,Quiroz,888
2023,Gamboa,887
2023,Cañete,886
2023,San Miguel,886
2023,Calzada,885
2023,Abril,882
2023,Barreiro,881
2023,Morato,881
2023,Araque,880
2023,Escalante,877
2023,Pedrero,876
2023,Monroy,875
2023,Escalona,872
2023,Marugan,872
2023,Coello,870
2023,Nuño,869
2023,Garay,868
2023,Nieves,868
2023,Piñeiro,867
2023,Polanco,866
2023,Antolín,863
2023,Almazán,862
2023,Duro,862
2023,Carbajo,857
2023,Valdivia,857
2023,Perdomo,856
2023,Daza,855
2023,Rubia,855
2023,Valentín,855
2023,Solorzano,854
2023,Bayón,853
2023,Bruno,852
2023,Mariscal,850
2023,Valles,850
2023,Camarero,847
2023,Gala,847
2023,Parada,847
2023,Nava,846
2023,Hoyo,845
2023,Lucena,845
2023,Bachiller,844
2023,Agüero,843
2023,Feito,842
2023,Niño,842
2023,Aceituno,839
2023,Escolar,839
2023,Horcajo,839
2023,Henao,837
2023,Hinojosa,837
2023,Terán,837
2023,Barbosa,835
