Year,District,Neighborhood,Gender,Number
2019,Moratalaz,Horcajo,female,10
2019,Moratalaz,Marroquina,female,88
2019,Moratalaz,Media Legua,female,80
2019,Moratalaz,Fontarrón,female,89
2019,Moratalaz,Vinateros,female,97
2019,Ciudad Lineal,Ciudad Lineal,female,848
2019,Ciudad Lineal,Ventas,female,220
2019,Ciudad Lineal,Pueblo Nuevo,female,234
2019,Ciudad Lineal,Quintana,female,101
2019,Ciudad Lineal,Concepción,female,82
2019,Ciudad Lineal,San Pascual,female,83
2019,Ciudad Lineal,San Juan Bautista,female,39
2019,Ciudad Lineal,Colina,female,18
2019,Ciudad Lineal,Atalaya,female,6
2019,Ciudad Lineal,Costillares,female,65
2019,Hortaleza,Hortaleza,female,538
2019,Hortaleza,Palomas,female,14
2019,Hortaleza,Piovera,female,33
2019,Hortaleza,Canillas,female,145
2019,Hortaleza,Pinar del Rey,female,237
2019,Hortaleza,Apóstol Santiago,female,48
2019,Hortaleza,Valdefuentes,female,61
2019,Villaverde,Villaverde,female,439
2019,Villaverde,Villaverde Alto,female,159
2019,Villaverde,San Cristóbal,female,37
2019,Villaverde,Butarque,female,29
2019,Villaverde,Los Rosales,female,99
2019,Villaverde,Ángeles,female,115
2019,Villa de Vallecas,Villa de Vallecas,female,252
2019,Villa de Vallecas,Casco Histórico de Vallecas,female,119
2019,Villa de Vallecas,Santa Eugenia,female,74
2019,Villa de Vallecas,Ensanche de Vallecas,female,59
2019,Vicálvaro,Vicálvaro,female,173
2019,Vicálvaro,Casco Histórico de Vicálvaro,female,121
2019,Vicálvaro,Valdebernardo,female,39
2019,Vicálvaro,Valderrivas,female,12
2019,Vicálvaro,El Cañaveral,female,1
2019,San Blas-Canillejas,San Blas-Canillejas,female,510
2019,San Blas-Canillejas,Simancas,female,88
2019,San Blas-Canillejas,Hellín,female,49
2019,San Blas-Canillejas,Amposta,female,32
2019,San Blas-Canillejas,Arcos,female,102
2019,San Blas-Canillejas,Rosas,female,73
2019,San Blas-Canillejas,Rejas,female,16
2019,San Blas-Canillejas,Canillejas,female,110
2019,San Blas-Canillejas,El Salvador,female,40
2019,Barajas,Barajas,female,121
2019,Barajas,Alameda de Osuna,female,52
2019,Barajas,Aeropuerto,female,2
2019,Barajas,Casco Histórico de Barajas,female,29
2019,Barajas,Timón,female,19
2019,Barajas,Corralejos,female,19
